-1.304338836669921875e+01,-2.456778287887573242e+00,6.115977168083190918e-01,-4.957950592041015625e+00,-9.307540893554687500e+00,-2.216512870788574219e+01,-1.998111915588378906e+01,-3.351629257202148438e+01,-6.502821922302246094e+00,1.132708358764648438e+01
-1.266873264312744141e+01,-1.719018578529357910e+00,-1.551149964332580566e+00,-5.018858909606933594e+00,-4.983300685882568359e+00,-1.416615200042724609e+01,-1.398731803894042969e+01,-2.388665962219238281e+01,-7.243387222290039062e+00,7.249609947204589844e+00
-1.099520206451416016e+01,-3.203594923019409180e+00,4.892542839050292969e+00,-1.237900853157043457e+00,-6.458168506622314453e+00,-1.581659412384033203e+01,-2.205444145202636719e+01,-2.745825386047363281e+01,-8.423528671264648438e+00,3.841921806335449219e+00
-1.354886436462402344e+01,-1.101619005203247070e+00,1.347430825233459473e+00,-2.057630300521850586e+00,-5.300943374633789062e+00,-1.712144660949707031e+01,-1.596143150329589844e+01,-2.287073326110839844e+01,-7.024993896484375000e+00,5.535600185394287109e+00
-1.665646362304687500e+01,-2.604052305221557617e+00,-2.280333757400512695e+00,-6.373040199279785156e+00,-2.676069974899291992e+00,-1.593789863586425781e+01,-1.436979961395263672e+01,-2.921382141113281250e+01,-1.145585060119628906e+01,6.040131568908691406e+00
-1.670083999633789062e+01,3.013262987136840820e+00,-2.980991840362548828e+00,-5.346205234527587891e+00,2.802662253379821777e-01,-1.791378140449523926e+00,-1.196131706237792969e+01,-2.314536094665527344e+01,-1.167070102691650391e+01,-3.890168190002441406e+00
-1.594555091857910156e+01,-1.363824009895324707e+00,1.613966345787048340e+00,-3.598698854446411133e+00,-7.321949958801269531e+00,-2.154510688781738281e+01,-2.262958335876464844e+01,-3.375248718261718750e+01,-1.088949775695800781e+01,8.421754837036132812e+00
-1.396541690826416016e+01,-7.893802523612976074e-01,-2.632005453109741211e+00,-6.298788547515869141e+00,-7.423980236053466797e+00,-1.840932083129882812e+01,-1.751739692687988281e+01,-3.058520126342773438e+01,-7.372081279754638672e+00,1.131927299499511719e+01
-1.542365074157714844e+01,-1.718822717666625977e+00,3.566310107707977295e-01,-5.501866817474365234e+00,-8.861456871032714844e+00,-2.304368400573730469e+01,-2.125015640258789062e+01,-3.610839843750000000e+01,-9.154891014099121094e+00,1.094622611999511719e+01
-1.756370544433593750e+01,-1.946102619171142578e+00,4.745650768280029297e+00,-1.712838172912597656e+00,-3.593845129013061523e+00,-2.084224700927734375e+01,-1.921466827392578125e+01,-2.653397369384765625e+01,-9.894016265869140625e+00,2.706304073333740234e+00
